Type,WKT
Square bollard,"POLYGON Z ((842475.5739242699 6520289.290436789 0.5, 842475.1319989144 6520289.205572307 0.5, 842475.2168633962 6520288.763646951 0.5, 842475.6587887517 6520288.848511433 0.5, 842475.5739242699 6520289.290436789 0.5))"
Square bollard,"POLYGON Z ((842469.9674083078 6520288.224632829 0.5, 842469.5254829524 6520288.139768347 0.5, 842469.6103474342 6520287.697842991 0.5, 842470.0522727896 6520287.782707473 0.5, 842469.9674083078 6520288.224632829 0.5))"
Square bollard,"POLYGON Z ((842464.2300013888 6520287.155794709 0.5, 842463.7880760334 6520287.070930227 0.5, 842463.8729405152 6520286.629004871 0.5, 842464.3148658706 6520286.713869353 0.5, 842464.2300013888 6520287.155794709 0.5))"
Square bollard,"POLYGON Z ((842458.2055049738 6520286.042871529 0.5, 842457.7635796183 6520285.958007047 0.5, 842457.8484441001 6520285.516081691 0.5, 842458.2903694556 6520285.600946173 0.5, 842458.2055049738 6520286.042871529 0.5))"
Square bollard,"POLYGON Z ((842452.5483646408 6520284.90105926 0.5, 842452.1064392853 6520284.816194777 0.5, 842452.1913037671 6520284.374269421 0.5, 842452.6332291226 6520284.4591339035 0.5, 842452.5483646408 6520284.90105926 0.5))"
Square bollard,"POLYGON Z ((842469.8337581358 6520330.241746419 0.5, 842469.3918327803 6520330.156881937 0.5, 842469.4766972621 6520329.714956581 0.5, 842469.9186226176 6520329.799821063 0.5, 842469.8337581358 6520330.241746419 0.5))"
Square bollard,"POLYGON Z ((842471.7833262628 6520330.615636199 0.5, 842471.3414009074 6520330.5307717165 0.5, 842471.4262653892 6520330.08884636 0.5, 842471.8681907447 6520330.173710843 0.5, 842471.7833262628 6520330.615636199 0.5))"
Round bollard,"POLYGON Z ((842431.78303382 6520331.6610874 0.5, 842431.7400626438 6520331.793339082 0.5, 842431.6275626437 6520331.875075117 0.5, 842431.4885049963 6520331.875075117 0.5, 842431.3760049962 6520331.793339082 0.5, 842431.33303382 6520331.6610874 0.5, 842431.3760049962 6520331.5288357185 0.5, 842431.4885049963 6520331.447099684 0.5, 842431.6275626437 6520331.447099684 0.5, 842431.7400626438 6520331.5288357185 0.5, 842431.78303382 6520331.6610874 0.5))"
Round bollard,"POLYGON Z ((842427.594626034 6520332.8493141 0.5, 842427.5516548578 6520332.981565782 0.5, 842427.4391548578 6520333.063301817 0.5, 842427.3000972103 6520333.063301817 0.5, 842427.1875972103 6520332.981565782 0.5, 842427.1446260341 6520332.8493141 0.5, 842427.1875972103 6520332.717062418 0.5, 842427.3000972103 6520332.635326384 0.5, 842427.4391548578 6520332.635326384 0.5, 842427.5516548578 6520332.717062418 0.5, 842427.594626034 6520332.8493141 0.5))"
Round bollard,"POLYGON Z ((842427.345676466 6520329.04071612 0.5, 842427.3027052898 6520329.172967802 0.5, 842427.1902052897 6520329.2547038365 0.5, 842427.0511476423 6520329.2547038365 0.5, 842426.9386476423 6520329.172967802 0.5, 842426.895676466 6520329.04071612 0.5, 842426.9386476423 6520328.908464438 0.5, 842427.0511476423 6520328.826728404 0.5, 842427.1902052897 6520328.826728404 0.5, 842427.3027052898 6520328.908464438 0.5, 842427.345676466 6520329.04071612 0.5))"
Round bollard,"POLYGON Z ((842425.487352663 6520328.35484654 0.5, 842425.4443814867 6520328.487098222 0.5, 842425.3318814867 6520328.568834256 0.5, 842425.1928238393 6520328.568834256 0.5, 842425.0803238392 6520328.487098222 0.5, 842425.037352663 6520328.35484654 0.5, 842425.0803238392 6520328.222594858 0.5, 842425.1928238393 6520328.140858823 0.5, 842425.3318814867 6520328.140858823 0.5, 842425.4443814867 6520328.222594858 0.5, 842425.487352663 6520328.35484654 0.5))"
Round bollard,"POLYGON Z ((842423.472956124 6520327.93315862 0.5, 842423.4299849478 6520328.065410302 0.5, 842423.3174849477 6520328.147146337 0.5, 842423.1784273003 6520328.147146337 0.5, 842423.0659273003 6520328.065410302 0.5, 842423.022956124 6520327.93315862 0.5, 842423.0659273003 6520327.8009069385 0.5, 842423.1784273003 6520327.719170904 0.5, 842423.3174849477 6520327.719170904 0.5, 842423.4299849478 6520327.8009069385 0.5, 842423.472956124 6520327.93315862 0.5))"
Round bollard,"POLYGON Z ((842421.642154993 6520327.67641574 0.5, 842421.5991838168 6520327.808667421 0.5, 842421.4866838168 6520327.890403456 0.5, 842421.3476261693 6520327.890403456 0.5, 842421.2351261693 6520327.808667421 0.5, 842421.1921549931 6520327.67641574 0.5, 842421.2351261693 6520327.544164058 0.5, 842421.3476261693 6520327.462428023 0.5, 842421.4866838168 6520327.462428023 0.5, 842421.5991838168 6520327.544164058 0.5, 842421.642154993 6520327.67641574 0.5))"
Round bollard,"POLYGON Z ((842419.58656532 6520327.41445535 0.5, 842419.5435941438 6520327.546707031 0.5, 842419.4310941438 6520327.628443066 0.5, 842419.2920364963 6520327.628443066 0.5, 842419.1795364963 6520327.546707031 0.5, 842419.1365653201 6520327.41445535 0.5, 842419.1795364963 6520327.282203668 0.5, 842419.2920364963 6520327.200467633 0.5, 842419.4310941438 6520327.200467633 0.5, 842419.5435941438 6520327.282203668 0.5, 842419.58656532 6520327.41445535 0.5))"
Round bollard,"POLYGON Z ((842432.3172998229 6520329.63817901 0.5, 842432.2743286467 6520329.770430692 0.5, 842432.1618286467 6520329.852166726 0.5, 842432.0227709992 6520329.852166726 0.5, 842431.9102709992 6520329.770430692 0.5, 842431.867299823 6520329.63817901 0.5, 842431.9102709992 6520329.505927328 0.5, 842432.0227709992 6520329.424191293 0.5, 842432.1618286467 6520329.424191293 0.5, 842432.2743286467 6520329.505927328 0.5, 842432.3172998229 6520329.63817901 0.5))"
Round bollard,"POLYGON Z ((842433.900397049 6520326.03279484 0.5, 842433.8574258728 6520326.165046521 0.5, 842433.7449258728 6520326.246782556 0.5, 842433.6058682253 6520326.246782556 0.5, 842433.4933682253 6520326.165046521 0.5, 842433.4503970491 6520326.03279484 0.5, 842433.4933682253 6520325.900543158 0.5, 842433.6058682253 6520325.818807123 0.5, 842433.7449258728 6520325.818807123 0.5, 842433.8574258728 6520325.900543158 0.5, 842433.900397049 6520326.03279484 0.5))"
Round bollard,"POLYGON Z ((842434.246097612 6520324.05906978 0.5, 842434.2031264358 6520324.191321461 0.5, 842434.0906264357 6520324.273057496 0.5, 842433.9515687883 6520324.273057496 0.5, 842433.8390687882 6520324.191321461 0.5, 842433.796097612 6520324.05906978 0.5, 842433.8390687882 6520323.926818098 0.5, 842433.9515687883 6520323.845082063 0.5, 842434.0906264357 6520323.845082063 0.5, 842434.2031264358 6520323.926818098 0.5, 842434.246097612 6520324.05906978 0.5))"
Round bollard,"POLYGON Z ((842434.5893128159 6520322.1924087 0.5, 842434.5463416397 6520322.324660381 0.5, 842434.4338416397 6520322.406396416 0.5, 842434.2947839922 6520322.406396416 0.5, 842434.1822839922 6520322.324660381 0.5, 842434.139312816 6520322.1924087 0.5, 842434.1822839922 6520322.060157018 0.5, 842434.2947839922 6520321.978420983 0.5, 842434.4338416397 6520321.978420983 0.5, 842434.5463416397 6520322.060157018 0.5, 842434.5893128159 6520322.1924087 0.5))"
Round bollard,"POLYGON Z ((842436.417629556 6520322.5562194 0.5, 842436.3746583798 6520322.688471082 0.5, 842436.2621583798 6520322.770207116 0.5, 842436.1231007323 6520322.770207116 0.5, 842436.0106007323 6520322.688471082 0.5, 842435.9676295561 6520322.5562194 0.5, 842436.0106007323 6520322.423967718 0.5, 842436.1231007323 6520322.342231683 0.5, 842436.2621583798 6520322.342231683 0.5, 842436.3746583798 6520322.423967718 0.5, 842436.417629556 6520322.5562194 0.5))"
Round bollard,"POLYGON Z ((842438.134794616 6520322.8638893 0.5, 842438.0918234398 6520322.996140982 0.5, 842437.9793234398 6520323.077877017 0.5, 842437.8402657923 6520323.077877017 0.5, 842437.7277657923 6520322.996140982 0.5, 842437.6847946161 6520322.8638893 0.5, 842437.7277657923 6520322.7316376185 0.5, 842437.8402657923 6520322.649901584 0.5, 842437.9793234398 6520322.649901584 0.5, 842438.0918234398 6520322.7316376185 0.5, 842438.134794616 6520322.8638893 0.5))"
Round bollard,"POLYGON Z ((842435.047408092 6520320.22129298 0.5, 842435.0044369157 6520320.353544662 0.5, 842434.8919369157 6520320.4352806965 0.5, 842434.7528792683 6520320.4352806965 0.5, 842434.6403792682 6520320.353544662 0.5, 842434.597408092 6520320.22129298 0.5, 842434.6403792682 6520320.089041298 0.5, 842434.7528792683 6520320.007305264 0.5, 842434.8919369157 6520320.007305264 0.5, 842435.0044369157 6520320.089041298 0.5, 842435.047408092 6520320.22129298 0.5))"
Round bollard,"POLYGON Z ((842435.3906237009 6520318.35463194 0.5, 842435.3476525247 6520318.486883622 0.5, 842435.2351525247 6520318.568619656 0.5, 842435.0960948772 6520318.568619656 0.5, 842434.9835948772 6520318.486883622 0.5, 842434.940623701 6520318.35463194 0.5, 842434.9835948772 6520318.222380258 0.5, 842435.0960948772 6520318.140644223 0.5, 842435.2351525247 6520318.140644223 0.5, 842435.3476525247 6520318.222380258 0.5, 842435.3906237009 6520318.35463194 0.5))"
Round bollard,"POLYGON Z ((842435.735082277 6520316.43443894 0.5, 842435.6921111008 6520316.566690622 0.5, 842435.5796111007 6520316.648426657 0.5, 842435.4405534533 6520316.648426657 0.5, 842435.3280534532 6520316.566690622 0.5, 842435.285082277 6520316.43443894 0.5, 842435.3280534532 6520316.302187258 0.5, 842435.4405534533 6520316.220451224 0.5, 842435.5796111007 6520316.220451224 0.5, 842435.6921111008 6520316.302187258 0.5, 842435.735082277 6520316.43443894 0.5))"
Round bollard,"POLYGON Z ((842436.1557134549 6520314.46245352 0.5, 842436.1127422787 6520314.594705202 0.5, 842436.0002422787 6520314.676441236 0.5, 842435.8611846312 6520314.676441236 0.5, 842435.7486846312 6520314.594705202 0.5, 842435.705713455 6520314.46245352 0.5, 842435.7486846312 6520314.330201838 0.5, 842435.8611846312 6520314.248465803 0.5, 842436.0002422787 6520314.248465803 0.5, 842436.1127422787 6520314.330201838 0.5, 842436.1557134549 6520314.46245352 0.5))"
Round bollard,"POLYGON Z ((842436.500172433 6520312.54226056 0.5, 842436.4572012568 6520312.674512242 0.5, 842436.3447012567 6520312.756248277 0.5, 842436.2056436093 6520312.756248277 0.5, 842436.0931436092 6520312.674512242 0.5, 842436.050172433 6520312.54226056 0.5, 842436.0931436092 6520312.410008878 0.5, 842436.2056436093 6520312.328272844 0.5, 842436.3447012567 6520312.328272844 0.5, 842436.4572012568 6520312.410008878 0.5, 842436.500172433 6520312.54226056 0.5))"
Round bollard,"POLYGON Z ((842436.847117187 6520310.51500366 0.5, 842436.8041460108 6520310.6472553415 0.5, 842436.6916460107 6520310.728991376 0.5, 842436.5525883633 6520310.728991376 0.5, 842436.4400883632 6520310.6472553415 0.5, 842436.397117187 6520310.51500366 0.5, 842436.4400883632 6520310.382751978 0.5, 842436.5525883633 6520310.301015943 0.5, 842436.6916460107 6520310.301015943 0.5, 842436.8041460108 6520310.382751978 0.5, 842436.847117187 6520310.51500366 0.5))"
Round bollard,"POLYGON Z ((842437.266506244 6520308.59655029 0.5, 842437.2235350678 6520308.728801971 0.5, 842437.1110350677 6520308.810538006 0.5, 842436.9719774203 6520308.810538006 0.5, 842436.8594774202 6520308.728801971 0.5, 842436.816506244 6520308.59655029 0.5, 842436.8594774202 6520308.464298608 0.5, 842436.9719774203 6520308.382562573 0.5, 842437.1110350677 6520308.382562573 0.5, 842437.2235350678 6520308.464298608 0.5, 842437.266506244 6520308.59655029 0.5))"
Round bollard,"POLYGON Z ((842425.0954467499 6520319.40109065 0.5, 842425.0524755737 6520319.533342332 0.5, 842424.9399755737 6520319.615078366 0.5, 842424.8009179262 6520319.615078366 0.5, 842424.6884179262 6520319.533342332 0.5, 842424.64544675 6520319.40109065 0.5, 842424.6884179262 6520319.268838968 0.5, 842424.8009179262 6520319.187102933 0.5, 842424.9399755737 6520319.187102933 0.5, 842425.0524755737 6520319.268838968 0.5, 842425.0954467499 6520319.40109065 0.5))"
Round bollard,"POLYGON Z ((842426.587640902 6520318.09670998 0.5, 842426.5446697258 6520318.228961661 0.5, 842426.4321697258 6520318.310697696 0.5, 842426.2931120783 6520318.310697696 0.5, 842426.1806120783 6520318.228961661 0.5, 842426.1376409021 6520318.09670998 0.5, 842426.1806120783 6520317.964458298 0.5, 842426.2931120783 6520317.882722263 0.5, 842426.4321697258 6520317.882722263 0.5, 842426.5446697258 6520317.964458298 0.5, 842426.587640902 6520318.09670998 0.5))"
Round bollard,"POLYGON Z ((842427.552843079 6520316.88721748 0.5, 842427.5098719028 6520317.0194691615 0.5, 842427.3973719027 6520317.101205196 0.5, 842427.2583142553 6520317.101205196 0.5, 842427.1458142552 6520317.0194691615 0.5, 842427.102843079 6520316.88721748 0.5, 842427.1458142552 6520316.754965798 0.5, 842427.2583142553 6520316.673229763 0.5, 842427.3973719027 6520316.673229763 0.5, 842427.5098719028 6520316.754965798 0.5, 842427.552843079 6520316.88721748 0.5))"
Round bollard,"POLYGON Z ((842428.346876969 6520314.97746076 0.5, 842428.3039057928 6520315.109712441 0.5, 842428.1914057927 6520315.191448476 0.5, 842428.0523481453 6520315.191448476 0.5, 842427.9398481452 6520315.109712441 0.5, 842427.896876969 6520314.97746076 0.5, 842427.9398481452 6520314.845209078 0.5, 842428.0523481453 6520314.763473043 0.5, 842428.1914057927 6520314.763473043 0.5, 842428.3039057928 6520314.845209078 0.5, 842428.346876969 6520314.97746076 0.5))"
Round bollard,"POLYGON Z ((842428.917365126 6520313.00895377 0.5, 842428.8743939498 6520313.141205451 0.5, 842428.7618939497 6520313.222941486 0.5, 842428.6228363023 6520313.222941486 0.5, 842428.5103363022 6520313.141205451 0.5, 842428.467365126 6520313.00895377 0.5, 842428.5103363022 6520312.876702088 0.5, 842428.6228363023 6520312.794966053 0.5, 842428.7618939497 6520312.794966053 0.5, 842428.8743939498 6520312.876702088 0.5, 842428.917365126 6520313.00895377 0.5))"
Round bollard,"POLYGON Z ((842429.301772182 6520310.98256617 0.5, 842429.2588010058 6520311.114817852 0.5, 842429.1463010057 6520311.196553887 0.5, 842429.0072433583 6520311.196553887 0.5, 842428.8947433583 6520311.114817852 0.5, 842428.851772182 6520310.98256617 0.5, 842428.8947433583 6520310.850314489 0.5, 842429.0072433583 6520310.768578454 0.5, 842429.1463010057 6520310.768578454 0.5, 842429.2588010058 6520310.850314489 0.5, 842429.301772182 6520310.98256617 0.5))"
Round bollard,"POLYGON Z ((842429.6400155 6520309.33003271 0.5, 842429.5970443238 6520309.462284392 0.5, 842429.4845443238 6520309.544020426 0.5, 842429.3454866763 6520309.544020426 0.5, 842429.2329866763 6520309.462284392 0.5, 842429.1900155001 6520309.33003271 0.5, 842429.2329866763 6520309.197781028 0.5, 842429.3454866763 6520309.1160449935 0.5, 842429.4845443238 6520309.1160449935 0.5, 842429.5970443238 6520309.197781028 0.5, 842429.6400155 6520309.33003271 0.5))"
Round bollard,"POLYGON Z ((842430.1005954159 6520307.25185266 0.5, 842430.0576242397 6520307.384104342 0.5, 842429.9451242397 6520307.465840377 0.5, 842429.8060665922 6520307.465840377 0.5, 842429.6935665922 6520307.384104342 0.5, 842429.650595416 6520307.25185266 0.5, 842429.6935665922 6520307.119600979 0.5, 842429.8060665922 6520307.037864944 0.5, 842429.9451242397 6520307.037864944 0.5, 842430.0576242397 6520307.119600979 0.5, 842430.1005954159 6520307.25185266 0.5))"
Round bollard,"POLYGON Z ((842430.443810057 6520305.38519132 0.5, 842430.4008388808 6520305.517443002 0.5, 842430.2883388808 6520305.599179037 0.5, 842430.1492812333 6520305.599179037 0.5, 842430.0367812333 6520305.517443002 0.5, 842429.993810057 6520305.38519132 0.5, 842430.0367812333 6520305.252939639 0.5, 842430.1492812333 6520305.171203604 0.5, 842430.2883388808 6520305.171203604 0.5, 842430.4008388808 6520305.252939639 0.5, 842430.443810057 6520305.38519132 0.5))"
Round bollard,"POLYGON Z ((842430.71333786 6520303.46325854 0.5, 842430.6703666837 6520303.595510222 0.5, 842430.5578666837 6520303.677246257 0.5, 842430.4188090363 6520303.677246257 0.5, 842430.3063090362 6520303.595510222 0.5, 842430.26333786 6520303.46325854 0.5, 842430.3063090362 6520303.3310068585 0.5, 842430.4188090363 6520303.249270824 0.5, 842430.5578666837 6520303.249270824 0.5, 842430.6703666837 6520303.3310068585 0.5, 842430.71333786 6520303.46325854 0.5))"
