# trajectory data of sequence CCTV
# recorded at 12 fps, extracted at 2 fps and then interpolated at 10 fps for final output
# recording started at 2022-12-09T20:13:35+01:00
# z coordinate is the estimated height of person
# x_RGF and y_RGF are coordinates (in meters) in the RGF-93 Lambert-93 coordinate system (EPSG:2154)
# t/s is the time (number of seconds) using as reference date Friday, Dec. 9th at 20:00:00 (UTC+1)
# id frame x/m y/m z/m t/s x_RGF y_RGF
75 58 -1.083 57.878 1.8 818.800 842457.69 6520290.97
75 59 -1.112 57.960 1.8 818.900 842457.61 6520290.92
75 60 -1.140 58.041 1.8 819.000 842457.54 6520290.88
75 61 -1.166 58.095 1.8 819.100 842457.49 6520290.84
75 62 -1.193 58.149 1.8 819.200 842457.44 6520290.81
75 63 -1.219 58.203 1.8 819.300 842457.39 6520290.77
75 64 -1.245 58.257 1.8 819.400 842457.34 6520290.74
75 65 -1.271 58.311 1.8 819.500 842457.30 6520290.70
75 66 -1.305 58.450 1.8 819.600 842457.17 6520290.64
75 67 -1.338 58.590 1.8 819.700 842457.04 6520290.58
75 68 -1.372 58.729 1.8 819.800 842456.91 6520290.53
75 69 -1.405 58.868 1.8 819.900 842456.77 6520290.47
75 70 -1.439 59.007 1.8 820.000 842456.64 6520290.41
75 71 -1.460 59.005 1.8 820.100 842456.65 6520290.39
75 72 -1.482 59.003 1.8 820.200 842456.66 6520290.37
75 73 -1.504 59.000 1.8 820.300 842456.66 6520290.35
75 74 -1.525 58.998 1.8 820.400 842456.67 6520290.33
75 75 -1.547 58.996 1.8 820.500 842456.67 6520290.30
75 76 -1.576 59.079 1.8 820.600 842456.60 6520290.26
75 77 -1.605 59.163 1.8 820.700 842456.52 6520290.22
75 78 -1.634 59.246 1.8 820.800 842456.44 6520290.17
75 79 -1.663 59.329 1.8 820.900 842456.37 6520290.13
75 80 -1.692 59.412 1.8 821.000 842456.29 6520290.09
75 81 -1.710 59.497 1.8 821.100 842456.21 6520290.05
75 82 -1.728 59.582 1.8 821.200 842456.13 6520290.02
75 83 -1.747 59.667 1.8 821.300 842456.05 6520289.99
75 84 -1.765 59.752 1.8 821.400 842455.97 6520289.95
75 85 -1.783 59.837 1.8 821.500 842455.89 6520289.92
75 86 -1.815 59.950 1.8 821.600 842455.79 6520289.87
75 87 -1.847 60.063 1.8 821.700 842455.68 6520289.81
75 88 -1.879 60.176 1.8 821.800 842455.58 6520289.76
75 89 -1.911 60.290 1.8 821.900 842455.47 6520289.71
75 90 -1.943 60.403 1.8 822.000 842455.36 6520289.66
75 91 -1.986 60.516 1.8 822.100 842455.26 6520289.59
75 92 -2.029 60.629 1.8 822.200 842455.16 6520289.53
75 93 -2.072 60.742 1.8 822.300 842455.06 6520289.47
75 94 -2.115 60.855 1.8 822.400 842454.95 6520289.40
75 95 -2.158 60.968 1.8 822.500 842454.85 6520289.34
75 96 -2.185 61.024 1.8 822.600 842454.80 6520289.30
75 97 -2.212 61.081 1.8 822.700 842454.75 6520289.27
75 98 -2.240 61.137 1.8 822.800 842454.70 6520289.23
75 99 -2.267 61.193 1.8 822.900 842454.65 6520289.19
75 100 -2.294 61.249 1.8 823.000 842454.60 6520289.16
75 101 -2.319 61.277 1.8 823.100 842454.57 6520289.13
75 102 -2.343 61.304 1.8 823.200 842454.55 6520289.10
75 103 -2.368 61.331 1.8 823.300 842454.53 6520289.07
75 104 -2.392 61.358 1.8 823.400 842454.51 6520289.04
75 105 -2.417 61.385 1.8 823.500 842454.49 6520289.01
75 106 -2.439 61.502 1.8 823.600 842454.38 6520288.97
75 107 -2.460 61.619 1.8 823.700 842454.27 6520288.92
75 108 -2.482 61.736 1.8 823.800 842454.15 6520288.88
75 109 -2.504 61.853 1.8 823.900 842454.04 6520288.84
75 110 -2.526 61.969 1.8 824.000 842453.93 6520288.79
75 111 -2.553 62.027 1.8 824.100 842453.88 6520288.76
75 112 -2.581 62.084 1.8 824.200 842453.83 6520288.72
75 113 -2.608 62.141 1.8 824.300 842453.78 6520288.68
